sample_id,organ,platform,dataset_title,n_spots_metadata,n_genes_metadata,has_features,has_counts,has_coords,has_size_factor,ready_for_training
NCBI600,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",832,33538,False,True,True,True,False
NCBI601,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",1469,33538,False,True,True,True,False
NCBI602,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",1017,33538,False,True,True,True,False
NCBI603,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",768,33538,False,True,True,True,False
NCBI854,Bladder,Visium,Batf3-dendritic cells and 4-1BB-4-1BB ligand axis are required at the effector phase within the tumor microenvironment for PD-1-PD-L1 blockade efficacy,699,17943,False,True,True,True,False
NCBI855,Bladder,Visium,Batf3-dendritic cells and 4-1BB-4-1BB ligand axis are required at the effector phase within the tumor microenvironment for PD-1-PD-L1 blockade efficacy,1432,17943,False,True,True,True,False
MISC33,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3385,18729,False,True,True,True,False
MISC34,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3731,19276,False,True,True,True,False
MISC35,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3578,19061,False,True,True,True,False
MISC36,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3502,19119,False,True,True,True,False
MISC37,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3636,19396,False,True,True,True,False
MISC38,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1727,19366,False,True,True,True,False
MISC39,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4078,19234,False,True,True,True,False
MISC40,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4116,19352,False,True,True,True,False
MISC41,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3708,19255,False,True,True,True,False
MISC42,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,659,19304,False,True,True,True,False
MISC43,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1186,19121,False,True,True,True,False
MISC44,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,932,18518,False,True,True,True,False
MISC45,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4118,19270,False,True,True,True,False
MISC46,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4511,19337,False,True,True,True,False
MISC47,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4818,19327,False,True,True,True,False
MISC48,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3577,19111,False,True,True,True,False
MISC49,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4624,19330,False,True,True,True,False
MISC50,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4297,18776,False,True,True,True,False
MISC51,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3076,19174,False,True,True,True,False
MISC52,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,229,19284,False,True,True,True,False
MISC53,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,818,19315,False,True,True,True,False
MISC54,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,668,19266,False,True,True,True,False
MISC55,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,863,19175,False,True,True,True,False
MISC56,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3395,19338,False,True,True,True,False
MISC57,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,989,19165,False,True,True,True,False
MISC58,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1165,19259,False,True,True,True,False
MISC59,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1312,19305,False,True,True,True,False
MISC60,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1014,19255,False,True,True,True,False
MISC61,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2047,19343,False,True,True,True,False
MISC62,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4132,19391,False,True,True,True,False
MISC63,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3467,19346,False,True,True,True,False
MISC64,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2533,19411,False,True,True,True,False
MISC65,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3261,19402,False,True,True,True,False
MISC66,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3970,19347,False,True,True,True,False
MISC67,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2551,19384,False,True,True,True,False
MISC68,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2708,19359,False,True,True,True,False
MISC69,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3634,19263,False,True,True,True,False
MISC70,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3934,19116,False,True,True,True,False
MISC71,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2997,19251,False,True,True,True,False
MISC72,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4369,19310,False,True,True,True,False
MISC73,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3901,19074,False,True,True,True,False
TENX152,Bowel,Visium,Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,4269,18085,False,True,True,True,False
ZEN36,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1691,36601,False,True,True,True,False
ZEN37,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1656,36601,False,True,True,True,False
ZEN38,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,387,36601,False,True,True,True,False
ZEN39,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1219,36601,False,True,True,True,False
ZEN40,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2128,36601,False,True,True,True,False
ZEN41,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1685,36601,False,True,True,True,False
ZEN42,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1192,36601,False,True,True,True,False
ZEN43,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,691,36601,False,True,True,True,False
ZEN44,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1048,36601,False,True,True,True,False
ZEN45,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,328,36601,False,True,True,True,False
ZEN46,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1803,36601,False,True,True,True,False
ZEN47,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2317,36601,False,True,True,True,False
