sample_id,split,split_type,heldout
NCBI600,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
NCBI601,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
NCBI602,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
NCBI603,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
NCBI854,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
NCBI855,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC33,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC34,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC35,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC36,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC37,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC38,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC39,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC40,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC41,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC42,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC43,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC44,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC45,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC46,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC47,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC48,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC49,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC50,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC51,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC52,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC53,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC54,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC55,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC56,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC57,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC58,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC59,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC60,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
MISC61,train,leave_cohort_out,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases
