sample_id,split,split_type,heldout
NCBI600,train,leave_organ_out,Breast
NCBI601,train,leave_organ_out,Breast
NCBI602,train,leave_organ_out,Breast
NCBI603,train,leave_organ_out,Breast
NCBI854,train,leave_organ_out,Breast
NCBI855,train,leave_organ_out,Breast
MISC33,train,leave_organ_out,Breast
MISC34,train,leave_organ_out,Breast
MISC35,train,leave_organ_out,Breast
MISC36,train,leave_organ_out,Breast
MISC37,train,leave_organ_out,Breast
MISC38,train,leave_organ_out,Breast
MISC39,train,leave_organ_out,Breast
MISC40,train,leave_organ_out,Breast
MISC41,train,leave_organ_out,Breast
MISC42,train,leave_organ_out,Breast
MISC43,train,leave_organ_out,Breast
MISC44,train,leave_organ_out,Breast
MISC45,train,leave_organ_out,Breast
MISC46,train,leave_organ_out,Breast
MISC47,train,leave_organ_out,Breast
MISC48,train,leave_organ_out,Breast
MISC49,train,leave_organ_out,Breast
MISC50,train,leave_organ_out,Breast
MISC51,train,leave_organ_out,Breast
MISC52,train,leave_organ_out,Breast
MISC53,train,leave_organ_out,Breast
MISC54,train,leave_organ_out,Breast
MISC55,train,leave_organ_out,Breast
MISC56,train,leave_organ_out,Breast
MISC57,train,leave_organ_out,Breast
MISC58,train,leave_organ_out,Breast
MISC59,train,leave_organ_out,Breast
MISC60,train,leave_organ_out,Breast
MISC61,train,leave_organ_out,Breast
MISC62,train,leave_organ_out,Breast
MISC63,train,leave_organ_out,Breast
MISC64,train,leave_organ_out,Breast
MISC65,train,leave_organ_out,Breast
MISC66,train,leave_organ_out,Breast
MISC67,train,leave_organ_out,Breast
MISC68,train,leave_organ_out,Breast
MISC69,train,leave_organ_out,Breast
MISC70,train,leave_organ_out,Breast
MISC71,train,leave_organ_out,Breast
MISC72,train,leave_organ_out,Breast
MISC73,train,leave_organ_out,Breast
TENX152,train,leave_organ_out,Breast
ZEN36,train,leave_organ_out,Breast
ZEN37,train,leave_organ_out,Breast
ZEN38,train,leave_organ_out,Breast
ZEN39,train,leave_organ_out,Breast
ZEN40,train,leave_organ_out,Breast
ZEN41,train,leave_organ_out,Breast
ZEN42,train,leave_organ_out,Breast
ZEN43,train,leave_organ_out,Breast
ZEN44,train,leave_organ_out,Breast
ZEN45,train,leave_organ_out,Breast
ZEN46,train,leave_organ_out,Breast
ZEN47,train,leave_organ_out,Breast
ZEN48,train,leave_organ_out,Breast
